Comb_Name	year	V3	V4	V5	V6
NL	1993	1994,2001	1992,1999		1989,1993,1999
240_H				2004	
249_H	-9999	-9999	-9999	-9999	-9999
265_H			1996,2002		
267_H		2006			
269_H	-9999	-9999	-9999	-9999	-9999
273_H	-9999	-9999	-9999	-9999	-9999
278_H		2010	2005	2001	
280_H		2007,2010		2002	2001
283_H		1994,1997			
290_H		2011			
310_H		1995,1999,2005,2009			
319_H			2008		
323_H		2008			
325_H		1997			
330_H	-9999	-9999	-9999	-9999	-9999
356_H	-9999	-9999	-9999	-9999	-9999
375_H	-9999	-9999	-9999	-9999	-9999
391_H	1997,2004			1998	
